id,created_date,modified_date,is_deleted,mark,name,user_id,car_detail_id,image_id,car_brand_id,car_model_id,pinned,order
3304765,2023-02-06 00:54:44.027751+00,2023-02-06 00:54:44.027792+00,f,Volkswagen,ID.4,1263314,2881613,,75,465,f,1
3305231,2023-02-06 03:30:38.820023+00,2023-02-06 03:30:38.820065+00,f,Daewoo,Matiz (Standart),154599,2881927,,16,163,f,1
3304981,2023-02-06 02:45:50.570115+00,2023-02-06 02:45:50.570164+00,f,Chevrolet,Cobalt,1177581,2881755,,12,111,f,1
3305111,2023-02-06 03:12:07.097964+00,2023-03-08 19:35:34.118351+00,t,Chevrolet,Nexia 3,1661426,2881830,,12,129,f,2
3549108,2023-02-22 12:33:41.204147+00,2023-02-22 12:33:41.204198+00,f,Chevrolet,Nexia 3,1633378,2881830,,12,129,f,1
3398591,2023-02-10 08:56:54.851004+00,2023-02-17 08:18:35.062379+00,t,Chevrolet,Nexia 3,1214723,2881830,,12,129,f,2
3570987,2023-02-24 10:31:38.095376+00,2023-02-24 10:31:38.095434+00,f,Chevrolet,Malibu 2,1632148,2881551,15264905,12,124,f,1
3304693,2023-02-05 22:33:32.134957+00,2023-02-05 22:33:32.134989+00,f,Chevrolet,Malibu 2,1720247,2881551,,12,124,f,3
3304988,2023-02-06 02:47:21.973027+00,2023-02-06 02:47:21.973102+00,f,Chevrolet,Gentra,224758,2881757,,12,120,f,1
3305132,2023-02-06 03:15:55.867625+00,2023-02-06 03:15:55.867673+00,f,Daewoo,Nexia,1859605,2881850,13901646,16,167,f,1
3304021,2023-02-05 18:02:22.933331+00,2023-02-05 18:02:22.933392+00,f,Daewoo,Damas,1374444,2881080,,16,,f,1
3304078,2023-02-05 18:13:38.826056+00,2023-02-05 18:13:38.826106+00,f,Chevrolet,Cobalt,1859107,2881121,,12,111,f,2
3305092,2023-02-06 03:08:56.873546+00,2023-02-06 03:08:56.873587+00,f,Daewoo,Nexia II,1859583,2881820,13901538,16,168,f,1
3305059,2023-02-06 03:02:59.36859+00,2023-02-06 03:02:59.368638+00,f,ГАЗ,27527,1760309,2881798,13901527,82,,f,5
3462506,2023-02-15 11:11:03.191895+00,2023-03-27 11:50:39.776638+00,t,Tesla,Model Y,771476,2881227,,72,419,f,2
3304916,2023-02-06 02:31:16.278085+00,2023-02-06 02:31:16.278121+00,f,Chevrolet,Matiz,1855685,2881708,13901365,12,125,f,1
3768498,2023-03-13 12:25:23.620646+00,2023-03-13 12:25:23.620712+00,f,Chevrolet,Malibu,1859499,2881685,16708477,12,123,f,1
3304154,2023-02-05 18:27:39.503017+00,2023-02-05 18:27:39.503064+00,f,Daewoo,Spark,1859106,2881180,,16,133,f,1
3305257,2023-02-06 03:33:26.723058+00,2023-02-06 03:33:26.723119+00,f,Chevrolet,Cobalt,1859642,2881945,13901744,12,111,f,1
3408551,2023-02-11 06:48:41.512883+00,2023-02-11 06:48:41.512928+00,f,Chevrolet,Nexia 2,634462,2881782,,12,128,f,1
3305035,2023-02-06 02:56:22.786578+00,2023-02-06 02:56:22.786624+00,f,Chevrolet,Nexia 2,923635,2881782,,12,128,f,1
3305172,2023-02-06 03:21:35.843079+00,2023-02-06 03:21:35.843124+00,f,Chevrolet,Gentra,1858598,2881879,,12,120,f,1
3304689,2023-02-05 22:20:43.900313+00,2023-02-05 22:20:43.900333+00,f,DAMAS,Damas,1859383,2881546,,,114,f,1
3900015,2023-03-25 10:20:40.037562+00,2023-03-25 10:20:40.037602+00,f,ВАЗ (Lada),2101,1613554,2881474,18103038,80,480,f,1
3304577,2023-02-05 20:27:38.506286+00,2023-03-25 10:18:07.67525+00,t,ВАЗ (Lada),2101,1613554,2881474,18102996,80,480,f,3
3304356,2023-02-05 19:07:53.193743+00,2023-03-09 12:16:52.99458+00,t,Chevrolet,Lacetti,1768652,2881317,,12,119,f,1
3662653,2023-03-04 06:15:48.38101+00,2023-03-04 06:16:35.983924+00,t,Chevrolet,Lacetti,782427,2881317,,12,119,f,1
1090433,2022-06-16 05:44:50.306349+00,2022-06-16 05:44:50.306372+00,f,Chevrolet,Spark,715721,1252542,2658245,12,133,f,1
3629864,2023-03-01 10:41:53.768811+00,2023-03-01 10:41:53.768877+00,f,Chevrolet,Cobalt,1374754,2881436,,12,111,f,2
3303982,2023-02-05 17:55:28.090714+00,2023-02-05 17:55:28.090755+00,f,Chevrolet,Labo,482670,2881055,,12,118,f,1
3304634,2023-02-05 21:05:13.76342+00,2023-02-05 21:05:13.763449+00,f,Chevrolet,Spark,1859346,2881507,,12,133,f,1
3304610,2023-02-05 20:48:18.886249+00,2023-02-05 20:48:18.886274+00,f,Chevrolet,Nexia 3,803851,2881493,13900890,12,129,f,1
3304392,2023-02-05 19:17:49.726836+00,2023-02-05 19:17:49.726924+00,f,Москвич,АЗЛК 2136 Комби,1859243,2881319,13900489,87,558,f,1
3304360,2023-02-05 19:08:09.465511+00,2023-02-05 19:08:09.465568+00,f,Москвич,АЗЛК 2140,1216221,2881319,13900461,87,561,f,1
3304406,2023-02-05 19:22:46.304046+00,2023-02-05 19:22:46.304077+00,f,Chevrolet,Nexia 3,51172,2881349,,12,129,f,3
636523,2022-02-22 11:26:27.155994+00,2022-11-25 12:19:31.874527+00,t,Chevrolet,Cobalt,197330,837100,,12,111,f,1
3304930,2023-02-06 02:35:58.408366+00,2023-03-26 00:02:18.813098+00,t,ВАЗ (Lada),2101,887536,2881716,,80,480,f,1
3304815,2023-02-06 01:45:53.747706+00,2023-02-06 01:45:53.747736+00,f,Chevrolet,Nexia 3,1859449,2881644,,12,129,f,1
3305145,2023-02-06 03:18:38.673578+00,2023-02-06 03:18:38.673631+00,f,Chevrolet,Nexia,1859609,2881861,,12,127,f,1
3797252,2023-03-16 04:01:43.467533+00,2023-03-16 04:01:43.467587+00,f,Chevrolet,Cobalt,2052179,2881512,17027814,12,111,f,1
3304641,2023-02-05 21:12:12.856864+00,2023-02-05 21:12:12.856893+00,f,Chevrolet,Cobalt,1856889,2881512,13900963,12,111,f,1
3304646,2023-02-05 21:19:11.739993+00,2023-02-05 21:19:11.740017+00,f,Chevrolet,Spark,41549,2881516,,12,133,f,1
3305089,2023-02-06 03:08:15.255865+00,2023-02-06 03:08:15.255919+00,f,Chevrolet,Cobalt,1785827,2881818,,12,111,f,1
3915156,2023-03-26 15:59:43.591652+00,2023-03-26 15:59:43.591692+00,f,Chevrolet,Nexia 3,1377126,2881098,,12,129,f,2
3304049,2023-02-05 18:06:44.299505+00,2023-02-05 18:06:44.299555+00,f,Chevrolet,Matiz,1859092,2881098,,12,125,f,1
3304580,2023-02-05 20:28:48.41813+00,2023-02-05 20:34:31.62249+00,t,Chevrolet,Damas,300746,2881476,,12,114,f,1
3305176,2023-02-06 03:21:55.275112+00,2023-02-06 03:21:55.275214+00,f,Chevrolet,Cobalt,935438,2881883,,12,111,f,1
3797080,2023-03-16 03:45:42.353213+00,2023-03-16 03:45:42.353284+00,f,Chevrolet,Gentra,2052723,2881935,,12,120,f,1
3305246,2023-02-06 03:32:00.834665+00,2023-02-06 03:32:00.834759+00,f,Daewoo,Gentra,918403,2881935,,16,156,f,1
3757017,2023-03-12 12:36:53.260699+00,2023-03-12 12:36:53.260737+00,f,Chevrolet,Gentra,885180,2881446,,12,120,f,1
3304531,2023-02-05 20:05:24.763139+00,2023-02-05 20:05:24.763166+00,f,Chevrolet,Gentra,27463,2881446,13900734,12,120,f,1
3303935,2023-02-05 17:46:30.527548+00,2023-02-05 17:46:30.52759+00,f,Daewoo,Nexia,1854707,2881028,,16,167,f,2
3812974,2023-03-17 09:23:28.51173+00,2023-03-17 09:23:28.511765+00,f,Chevrolet,Cobalt,2059419,3243267,,12,111,f,1
3305061,2023-02-06 03:03:47.649717+00,2023-02-06 03:03:47.649762+00,f,Chevrolet,Lacetti,1859570,2881801,,12,119,f,1
3889543,2023-03-24 14:36:58.779714+00,2023-03-24 14:36:58.779765+00,f,Daewoo,Nexia,2094076,2881669,,16,167,f,1
3304860,2023-02-06 02:07:29.400127+00,2023-02-06 02:07:29.400162+00,f,Daewoo,Nexia,1796583,2881669,,16,167,f,1
3624001,2023-03-01 02:43:53.095697+00,2023-03-01 02:43:53.095759+00,f,Chevrolet,Cobalt,578992,2881871,,12,111,f,1
3305162,2023-02-06 03:19:44.605973+00,2023-02-14 00:58:28.727812+00,t,Chevrolet,Cobalt,377818,2881871,,12,111,f,1
3304252,2023-02-05 18:46:33.374973+00,2023-03-09 04:46:19.93234+00,t,Chevrolet,Damas,1184257,2881250,,12,114,f,1
3304041,2023-02-05 18:04:39.443666+00,2023-02-05 18:04:39.443759+00,f,Chevrolet,Cobalt,1859086,2881092,15983125,12,111,f,1
2342028,2022-11-24 10:37:22.870496+00,2022-11-24 10:37:22.870545+00,t,Chevrolet,Lacetti,1374575,1740395,,12,119,f,2
2342321,2022-11-24 10:52:24.785125+00,2022-12-24 07:44:43.611653+00,t,Chevrolet,Lacetti,408253,1740395,8513162,12,119,f,1
2341965,2022-11-24 10:34:19.041168+00,2022-12-09 01:58:08.667109+00,t,Chevrolet,Gentra,282374,1740395,,12,120,f,1
1725496,2022-10-11 05:48:34.412977+00,2022-11-24 10:50:18.721603+00,t,Chevrolet,Lacetti,408253,1740395,6323187,12,119,f,1
3741919,2023-03-11 05:49:52.272953+00,2023-03-11 05:49:52.273007+00,f,Chevrolet,Nexia 3,2028459,2881607,,12,129,f,1
3304752,2023-02-06 00:42:01.332969+00,2023-02-06 00:43:37.994292+00,t,Chevrolet,Nexia 3,1859427,2881607,,12,129,f,1
3782879,2023-03-14 16:14:19.011789+00,2023-03-14 16:14:19.01183+00,f,BYD,Yuan plus,703153,2881983,,5,,f,1
3305235,2023-02-06 03:31:22.236202+00,2023-02-06 03:31:22.236264+00,f,Isuzu,Hl,155987,2881931,,35,,f,1
3304502,2023-02-05 19:50:23.438349+00,2023-02-05 19:50:23.438378+00,f,Chevrolet,Malibu 2,1859280,2881420,13900699,12,124,f,1
3304465,2023-02-05 19:38:35.535946+00,2023-02-05 19:38:35.535991+00,f,Chevrolet,Cobalt,1859273,2881390,,12,111,f,1
3989704,2023-04-01 06:59:09.421206+00,2023-04-01 06:59:09.421277+00,f,МАЗ,maz,296041,2881888,,126,,f,1
3305183,2023-02-06 03:23:15.712579+00,2023-03-13 06:25:43.894902+00,t,МАЗ,maz atz 9 5337,296041,2881888,,126,,f,3
3305119,2023-02-06 03:14:04.584976+00,2023-02-09 14:09:23.328695+00,f,Chevrolet,Cobalt,180523,2881837,,12,111,f,3
3304141,2023-02-05 18:25:05.601376+00,2023-02-05 18:25:05.601439+00,f,ГАЗ,ГАЗ пекап 2411,1828990,2881170,,82,,f,2
3864566,2023-03-22 10:17:54.091246+00,2023-03-22 10:17:54.09142+00,f,Chevrolet,Damas,2082288,2881052,,12,114,f,1
3303977,2023-02-05 17:54:05.691828+00,2023-02-05 17:54:05.691879+00,f,Daewoo,Damas,216732,2881052,,16,154,f,1
3674629,2023-03-05 08:41:06.761165+00,2023-03-05 08:41:06.761227+00,f,Chevrolet,Cobalt,1997173,2881895,,12,111,f,1
3305194,2023-02-06 03:24:53.6924+00,2023-02-06 03:24:53.692569+00,f,Chevrolet,Cobalt,997998,2881895,13901688,12,111,f,1
3304895,2023-02-06 02:25:40.34485+00,2023-02-06 02:25:40.344904+00,f,Chevrolet,Lacetti,1859504,2881694,16574945,12,119,f,1
3304972,2023-02-06 02:43:44.719748+00,2023-02-06 02:43:44.719804+00,f,Chevrolet,Tracker,1366418,2881744,,12,137,f,1
3305117,2023-02-06 03:13:59.910692+00,2023-02-06 03:13:59.91073+00,f,ВАЗ (Lada),21011,352088,2881836,13949300,80,,f,1
3304114,2023-02-05 18:20:22.792505+00,2023-02-05 18:20:22.792582+00,f,Chevrolet,Damas,1522949,2881151,,12,114,f,2
3305045,2023-02-06 02:59:57.231271+00,2023-02-06 02:59:57.231319+00,f,Daewoo,Nexia,1851453,2881790,,16,167,f,1
3936426,2023-03-28 08:52:15.224555+00,2023-03-29 00:08:27.278864+00,t,Chevrolet,Nexia 3,212118,2881545,,12,129,f,1
3855980,2023-03-21 12:57:52.244258+00,2023-03-21 12:57:52.244354+00,f,Chevrolet,Gentra,570958,2881545,18457306,12,120,f,1
3304687,2023-02-05 22:14:30.961578+00,2023-02-05 22:14:30.961607+00,f,Chevrolet,Gentra,172748,2881545,,12,120,f,1
3304043,2023-02-05 18:05:12.147317+00,2023-02-05 18:05:12.147385+00,f,ЗиЛ,samasval,1030914,2881094,,123,,f,2
3352507,2023-02-07 14:54:28.793635+00,2023-03-09 17:40:50.765662+00,t,Chevrolet,Nexia 3,1017033,2881940,,12,129,f,3
3305250,2023-02-06 03:32:33.973271+00,2023-02-06 03:32:33.973329+00,f,Chevrolet,Damas,1859644,2881940,13901738,12,114,f,1
3556016,2023-02-23 06:25:56.956316+00,2023-02-23 06:25:56.956362+00,f,Daewoo,Matiz (Standart),1947774,2881810,,16,163,f,1
3305076,2023-02-06 03:06:40.083873+00,2023-02-06 03:06:40.083938+00,f,Daewoo,Matiz,1267705,2881810,,16,125,f,2
3304026,2023-02-05 18:03:01.380705+00,2023-02-05 18:03:01.380763+00,f,Chevrolet,Cobalt,1859070,2881083,,12,111,f,1
1776866,2022-10-15 00:37:29.359069+00,2023-01-15 10:37:35.99373+00,t,Chevrolet,Cobalt,1087796,1779751,6440112,12,111,f,2
2208874,2022-11-15 07:19:04.257294+00,2022-12-19 14:40:37.551014+00,t,Chevrolet,Cobalt,325203,1779751,,12,111,f,1
3304492,2023-02-05 19:48:08.685667+00,2023-02-05 19:48:08.685698+00,f,Chevrolet,Lacetti,1859288,2881412,,12,119,f,2
3304944,2023-02-06 02:38:03.802349+00,2023-02-06 02:38:03.802401+00,f,Chevrolet,Equinox,1798697,2881726,14580482,12,116,f,1
3305066,2023-02-06 03:05:02.32577+00,2023-02-06 03:05:02.325816+00,f,ВАЗ (Lada),2106,1859572,2881803,,80,485,f,3
3304029,2023-02-05 18:03:27.71612+00,2023-02-05 18:03:27.716154+00,f,Chevrolet,Spark,1858948,2881087,,12,133,f,1
3303984,2023-02-05 17:55:40.295227+00,2023-02-05 17:55:40.295295+00,f,Chevrolet,Nexia 2,1859017,2881056,13899960,12,128,f,1
911763,2022-05-09 12:45:00.736585+00,2022-05-09 12:45:00.73661+00,f,Chevrolet,Cobalt,578992,1126516,,12,111,f,2
3375387,2023-02-08 16:19:15.509268+00,2023-02-13 00:02:07.40335+00,t,Chevrolet,Nexia 3,844019,2881071,,12,129,f,1
3304011,2023-02-05 18:01:23.069189+00,2023-02-05 18:01:23.069228+00,f,Chevrolet,Epica,1109072,2881071,,12,115,f,4
3304010,2023-02-05 18:01:09.091275+00,2023-02-05 18:01:09.091333+00,f,Chevrolet,Epica,1596569,2881071,13899977,12,115,f,1
3369637,2023-02-08 10:17:24.877032+00,2023-02-08 10:17:24.877092+00,f,Chevrolet,Cobalt,1859338,2881494,14092311,12,111,f,2
3304612,2023-02-05 20:48:41.606397+00,2023-02-06 15:07:59.571472+00,t,Chevrolet,Cobalt,1859338,2881494,,12,111,f,1
3304665,2023-02-05 21:45:01.102421+00,2023-02-05 21:45:01.10245+00,f,Chevrolet,Spark,1859364,2881529,,12,133,f,2
3304287,2023-02-05 18:53:15.583733+00,2023-02-05 18:53:15.583769+00,f,Chevrolet,Gentra,1800879,2881273,,12,120,f,1
3305169,2023-02-06 03:20:46.607775+00,2023-02-06 03:20:46.607804+00,f,ГАЗ,A30,1859601,2881877,,82,519,f,1
3304767,2023-02-06 00:55:28.398362+00,2023-02-06 00:55:28.398396+00,f,Daewoo,Nexia,1859429,2881614,,16,167,f,1
3305085,2023-02-06 03:07:31.252737+00,2023-02-06 03:07:31.252795+00,f,Chevrolet,Labo,1727396,2881816,,12,158,f,1
3304607,2023-02-05 20:45:43.720988+00,2023-03-31 20:01:11.154367+00,t,ВАЗ (Lada),2107,1374337,2881490,13900887,80,486,f,2
